links,terms,snippets,question 1,response 1,response confidence 1,question 2,response 2,response confidence 2,res
https://news.google.com/__i/rss/rd/articles/CBMiQGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2Fzc2F1bHQtc3R5bGUtdHJ1ZGVhdS0xLjY2ODQzMTLSAQA?oc=5,Justin Trudeau,"Prime Minister Justin Trudeau says his government is trying to find the dividing line between guns suitable for hunting and ones that have no place in society because they pose significant dangers in the wrong hands. While the effort is sparking debate, it's up to society to figure out ""where that line is going to be,"" Trudeau said in a year-end interview with The Canadian Press. ""There isn't a single Canadian anywhere out there that doesn't want to see less gun crime, that doesn't want to see safer communities. We're all united on that,"" he said. ""There are disagreements on","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,78.5% 21.5% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiT2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL3plbGVuc2t5eS11a3JhaW5lLXJ1c3NpYS1pcmFuLWRyb25lcy0xLjY2MjE4MTPSAQA?oc=5,Justin Trudeau,"the world, a UN resolution - leave tomorrow, right away,"" he said. Canada has given Ukraine 'very powerful support' - Zelenskyy Zelenskyy also expressed gratitude during the interview for Canada's support, saying he appreciates the fact that he never has to stand in line to speak with Prime Minister Justin Trudeau. He sidestepped a question about his government's plea for more armoured vehicles beyond what Canada already has promised and delivered. Zelenskyy chose instead to praise the Canadian government's swift delivery of monetary aid, which has helped to keep the Ukrainian economy afloat. ""It is a very powerful support,"" Zelenskyy","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,96.4% 3.6% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL25kcC1zaW5naC1jcmVkaWJpbGl0eS1lbGVjdGlvbi0xLjY2MTQzMDbSAQA?oc=5,Pierre Poilievre,"Ontario heard voters expressing ""deep disdain"" for Liberal Leader Justin Trudeau and frustrations about pandemic restrictions - factors that saw some New Democrat support bleed to the Conservatives and the People's Party of Canada in 2021. WATCH | The NDP's Anne McGrath talks about how New Democrats will handle Pierre Poilievre Now the Conservatives have a social-media savvy leader in Pierre Poilievre - someone who focuses on bread-and-butter issues like affordability that traditionally have played a large role in the NDP's appeal to voters. The NDP will need to deliver a ""sharp critique"" of Poilievre's outreach to working-class voters, McGrath","Does this news show Pierre Poilievre in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Pierre Poilievre?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL25kcC1zaW5naC1jcmVkaWJpbGl0eS1lbGVjdGlvbi0xLjY2MTQzMDbSAQA?oc=5,Pierre Poilievre,"and frustrations about pandemic restrictions - factors that saw some New Democrat support bleed to the Conservatives and the People's Party of Canada in 2021. WATCH | The NDP's Anne McGrath talks about how New Democrats will handle Pierre Poilievre Now the Conservatives have a social-media savvy leader in Pierre Poilievre - someone who focuses on bread-and-butter issues like affordability that traditionally have played a large role in the NDP's appeal to voters. The NDP will need to deliver a ""sharp critique"" of Poilievre's outreach to working-class voters, McGrath said. ""He's talking about the cost of bacon. He's talking about","Does this news show Pierre Poilievre in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Pierre Poilievre?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL25kcC1zaW5naC1jcmVkaWJpbGl0eS1lbGVjdGlvbi0xLjY2MTQzMDbSAQA?oc=5,Justin Trudeau,"says. But riding-by-riding results from 2021 also show the party was in tight contests with the Conservatives throughout rural B.C., the Prairies and rural Ontario. And the internal review document says New Democrats in ridings like Timmins-James Bay in northern Ontario heard voters expressing ""deep disdain"" for Liberal Leader Justin Trudeau and frustrations about pandemic restrictions - factors that saw some New Democrat support bleed to the Conservatives and the People's Party of Canada in 2021. WATCH | The NDP's Anne McGrath talks about how New Democrats will handle Pierre Poilievre Now the Conservatives have a social-media savvy leader in","Does this news show Justin Trudeau in a positive, negative or neutral way?",negative neutral positive,91.1% 8.9% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral negative positive,99.9% 0.1% 0%,neg
https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL25kcC1zaW5naC1jcmVkaWJpbGl0eS1lbGVjdGlvbi0xLjY2MTQzMDbSAQA?oc=5,Justin Trudeau,"NDP fell and the Liberals under Pierre Trudeau marched to a majority government. ""His son is going back to that playbook and seems to be using it effectively,"" said Jeffrey MacLeod, a professor of political and Canadian studies at Mount Saint Vincent University. ""We'll see if it works for Justin Trudeau."" NDP insiders reject suggestions that working with other parties will harm their election chances. In the 2011 election, McGrath said, voters rewarded the party with 103 seats and Official Opposition status after it supported the minority Conservative government on key pieces of legislation. ""There's always a danger, but I","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL25kcC1zaW5naC1jcmVkaWJpbGl0eS1lbGVjdGlvbi0xLjY2MTQzMDbSAQA?oc=5,Jagmeet Singh,"suffered from a credibility gap with voters during the 2021 federal election, says an internal party campaign review document. The campaign debrief was posted quietly on the party's website earlier this year. It presents a mixed assessment of the NDP's performance in the last election. It suggests party leader Jagmeet Singh's personal image took a hit during the campaign due to his vague statements on the campaign trail. An unnamed national NDP campaign staffer quoted in the report said the lack of ""something concrete"" in Singh's public statements did him no favours. ""It's like someone is drowning - Jagmeet is","Does this news show Jagmeet Singh in a positive, negative or neutral way?",negative neutral positive,89.3% 10.7% 0%,"Is this news written with a positive, negative or neutral bias towards Jagmeet Singh?",neutral negative positive,98.4% 1.6% 0%,neg
https://news.google.com/__i/rss/rd/articles/CBMiUGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2JpZGVuLWNhbm5hYmlzLXBhcmRvbnMtY2FuYWRhLXRydWRlYXUtMS42NjEyOTcw0gEA?oc=5,Justin Trudeau,"convicted of cannabis possession. Biden can only encourage governors to follow his lead at state level, and he has done that. But there's one aspect of his announcement that many Canadian experts say was more progressive, effective and beneficial than the approach taken by the government of Prime Minister Justin Trudeau - Biden's decision to proactively pardon those people he has the power to help. ""I think a more automatic approach that doesn't require any kind of lengthy application or red tape is definitely preferable to the system we have here,"" said Samantha McAleese, an adjunct research professor at Carleton","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiWmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL3BoYWMtdHJ1Y2stdmFjY2luZS1tYW5kYXRlLWNvbW11bmljYXRpb25zLWVycm9yLTEuNjMyMjk4ONIBAA?oc=5,Justin Trudeau,"pre-arrival molecular test for COVID-19 before crossing into Canada. The government provided no more explanation for the botched messaging, which one trucking industry association said prompted some unvaccinated big-riggers to be dispatched across the border during the period when everyone thought Ottawa had backed down. On Wednesday, Prime Minister Justin Trudeau said his government messaging had been consistent about the fact that the exemption would end this month. ""There was a miscommunication from an official last week that contradicted that. That was quickly corrected,"" he said. The Canadian Press has learned the miscommunication went beyond one official and even beyond","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiSGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL3RydWRlYXUtYXBwb2ludHMtbmV3LXNlbmF0b3JzLTEuNjU5NjY2N9IBAA?oc=5,Justin Trudeau,"Prime Minister Justin Trudeau has appointed a high-profile surgeon and the former head of Canada's public service to the Senate. ""I am pleased to welcome Flordeliz Osler and Ian Shugart as Parliament's newest independent senators,"" Trudeau said in a statement issued Monday. ""I am confident that their dedication, unique perspectives and stellar careers will help them best serve Canadians from all walks of life."" Osler is an assistant professor at the University of Manitoba and a former president of the Canadian Medical Association. Shugart is the former Clerk of the Privy Council. The clerk is Canada's most senior federal civil","Does this news show Justin Trudeau in a positive, negative or neutral way?",positive neutral negative,85.6% 14.4% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,pos
